meeboID	RATIO_MjDC_V1.7	CY3.ng._MjDC_V1.7	CY5.ng._MjDC_V1.7	SeqID	Probe_Name	Type	Name
MJ-4000-127	NA	NA	NA	mSQ036919	MJ-4000-127_2022	MJ	MJ-4000-127
MJ-4000-128	NA	NA	NA	mSQ037321	MJ-4000-128_808	MJ	MJ-4000-128
MJ-4000-129	NA	NA	NA	mSQ036933	MJ-4000-129_3873	MJ	MJ-4000-129
MJ-4000-130	NA	NA	NA	mSQ037092	MJ-4000-130_3325	MJ	MJ-4000-130
MJ-4000-131	NA	NA	NA	mSQ036974	MJ-4000-131_2020	MJ	MJ-4000-131
MJ-4000-132	NA	NA	NA	mSQ036905	MJ-4000-132_3129	MJ	MJ-4000-132
MJ-4000-133	NA	NA	NA	mSQ036985	MJ-4000-133_989	MJ	MJ-4000-133
MJ-4000-134	NA	NA	NA	mSQ037042	MJ-4000-134_81	MJ	MJ-4000-134
MJ-4000-135	NA	NA	NA	mSQ037052	MJ-4000-135_18	MJ	MJ-4000-135
MJ-4000-136	NA	NA	NA	mSQ037189	MJ-4000-136_1464	MJ	MJ-4000-136
MJ-4000-137	NA	NA	NA	mSQ036872	MJ-4000-137_699	MJ	MJ-4000-137
MJ-4000-138	NA	NA	NA	mSQ037485	MJ-4000-138_287	MJ	MJ-4000-138
MJ-4000-139	NA	NA	NA	mSQ037016	MJ-4000-139_3907	MJ	MJ-4000-139
MJ-4000-140	NA	NA	NA	mSQ037393	MJ-4000-140_3743	MJ	MJ-4000-140
MJ-4000-141	NA	NA	NA	mSQ037178	MJ-4000-141_702	MJ	MJ-4000-141
MJ-4000-142	NA	NA	NA	mSQ036958	MJ-4000-142_1696	MJ	MJ-4000-142
MJ-4000-143	NA	NA	NA	mSQ037357	MJ-4000-143_1623	MJ	MJ-4000-143
MJ-5000-144	NA	NA	NA	mSQ036931	MJ-5000-144_4275	MJ	MJ-5000-144
MJ-5000-145	NA	NA	NA	mSQ037242	MJ-5000-145_4049	MJ	MJ-5000-145
MJ-5000-146	NA	NA	NA	mSQ037310	MJ-5000-146_4112	MJ	MJ-5000-146
MJ-5000-147	NA	NA	NA	mSQ037134	MJ-5000-147_398	MJ	MJ-5000-147
MJ-5000-148	NA	NA	NA	mSQ037335	MJ-5000-148_265	MJ	MJ-5000-148
MJ-5000-149	NA	NA	NA	mSQ036995	MJ-5000-149_3172	MJ	MJ-5000-149
MJ-5000-150	NA	NA	NA	mSQ037154	MJ-5000-150_4562	MJ	MJ-5000-150
MJ-5000-151	NA	NA	NA	mSQ037191	MJ-5000-151_3293	MJ	MJ-5000-151
MJ-5000-152	NA	NA	NA	mSQ036900	MJ-5000-152_4829	MJ	MJ-5000-152
MJ-5000-153	NA	NA	NA	mSQ037185	MJ-5000-153_4699	MJ	MJ-5000-153
MJ-5000-154	NA	NA	NA	mSQ037285	MJ-5000-154_975	MJ	MJ-5000-154
MJ-5000-155	NA	NA	NA	mSQ037143	MJ-5000-155_2934	MJ	MJ-5000-155
MJ-5000-156	NA	NA	NA	mSQ037106	MJ-5000-156_4234	MJ	MJ-5000-156
MJ-5000-157	NA	NA	NA	mSQ037063	MJ-5000-157_993	MJ	MJ-5000-157
MJ-5000-158	NA	NA	NA	mSQ036882	MJ-5000-158_4832	MJ	MJ-5000-158
MJ-5000-159	NA	NA	NA	mSQ037017	MJ-5000-159_2567	MJ	MJ-5000-159
MJ-5000-160	NA	NA	NA	mSQ037210	MJ-5000-160_2735	MJ	MJ-5000-160
MJ-5000-161	NA	NA	NA	mSQ037139	MJ-5000-161_4433	MJ	MJ-5000-161
MJ-5000-162	NA	NA	NA	mSQ037076	MJ-5000-162_1024	MJ	MJ-5000-162
MJ-5000-163	NA	NA	NA	mSQ037089	MJ-5000-163_2650	MJ	MJ-5000-163
MJ-6000-164	NA	NA	NA	mSQ037225	MJ-6000-164_223	MJ	MJ-6000-164
MJ-6000-165	NA	NA	NA	mSQ037107	MJ-6000-165_1258	MJ	MJ-6000-165
MJ-6000-166	NA	NA	NA	mSQ037085	MJ-6000-166_5720	MJ	MJ-6000-166
MJ-6000-167	NA	NA	NA	mSQ037032	MJ-6000-167_5809	MJ	MJ-6000-167
MJ-6000-168	NA	NA	NA	mSQ036972	MJ-6000-168_5363	MJ	MJ-6000-168
MJ-6000-169	NA	NA	NA	mSQ037716	MJ-6000-169_5004	MJ	MJ-6000-169
